,a_max,a_max_db,vioff,p_opamp
0,3053.627265677589,69.6963204950198,-0.000292044679789121,0.0003330583417660704
1,2779.3608432304754,68.87889869409689,-0.000234104776948386,0.0002686890556578251
2,3082.605277732174,69.77835835260532,-0.0002531442897838779,0.00016643798843344763
3,2849.933660770217,69.09669501703515,-0.00033636918246077445,0.0005148590518315316
4,3248.1600065008315,70.23274829456497,-0.00033014516498070976,0.00031404619041197233
5,2789.437633935766,68.91033311854606,-0.00023356701906868593,0.00026469497221478453
6,3088.586493905749,69.79519535971032,-0.00025294780539174863,0.00016502045779505847
7,2858.8948610771113,69.12396368013177,-0.00033566937863219155,0.0005060808430268968
8,3255.8497857729963,70.25328719513698,-0.00032998712352178916,0.0003109261863912469
9,2793.478304315284,68.92290605480254,-0.0002622840062515352,0.00030646305349795285
10,3078.1462740991647,69.76578507485203,-0.00027557376349210486,0.0001881535335039073
11,2882.110959570382,69.19421393761974,-0.00036581865426404096,0.0005784394142222958
12,3292.2027628564065,70.34973150090123,-0.0003586966368783643,0.00035091076573507145
13,2803.36532436201,68.95359394247784,-0.00026157446049136584,0.00030148807027955923
14,3086.4080657932955,69.7890669050951,-0.0002752560932610222,0.00018641121438784034
15,2890.2750665683798,69.21878352785167,-0.0003649958225125649,0.0005676585490599224
16,3299.287397134507,70.36840296172971,-0.0003583403027977759,0.00034712573084437075
17,2694.994401936623,68.61115734807623,-0.0002498081988220857,0.0002860990736556536
18,3034.961186362254,69.64306282646946,-0.0002653571458399373,0.0001764557621730305
19,2783.017212366123,68.89031784721634,-0.0003570063660445362,0.0005450763371040354
20,3208.6367291853057,70.12641101102312,-0.0003476287720509423,0.0003316363695246279
21,2706.0440235023907,68.64669715349993,-0.0002491495311404393,0.0002816496811421333
22,3041.901682797905,69.66290346252914,-0.00026510541912876703,0.00017488403012561076
23,2791.56536723763,68.91695603472465,-0.00035614125809252807,0.0005352978316207331
24,3216.5268519760866,70.14774362594407,-0.00034739424390101505,0.0003281825068612044
25,2747.92379267214,68.78009368797666,-0.00027837169031137444,0.0003250580556576553
26,2977.4428419019896,69.47686866130064,-0.00028918902570816745,0.0001991417254842564
27,2805.6448172645833,68.96065380665087,-0.0003874025049700263,0.0006093980576456169
28,3211.4617152134215,70.13405498055582,-0.0003803938537743787,0.0003696727022944953
29,2758.545559242999,68.81360322039352,-0.0002775222173953879,0.000319560467101942
30,2987.3435595537194,69.50570343057828,-0.00028878383998292835,0.00019721743196651957
31,2814.214539591416,68.98714404967254,-0.0003863995551442022,0.0005975269328989645
32,3218.9560214655667,70.15430086477596,-0.0003798536585953626,0.0003655093773096494
