,a_dc,f_3db,f_0,pm
0,68.73685829181593,7223.552428355725,19772415.213857956,83.72935378557996
1,67.85397993346206,8600.461459153403,21266448.422391202,83.77896135671831
2,68.69559991746686,4025.7064715289634,10966666.743234882,84.33217536417929
3,68.47002862355755,10384.051303871354,27567346.78986241,83.61678104465926
4,69.43156488205206,4954.902924910009,14691357.291457206,83.9575370280506
5,67.88889543527642,8492.706471435637,21085035.17213212,83.77533447716979
6,68.71732487340225,3993.457492547216,10906351.400721043,84.33495132109675
7,68.50569144104757,10244.49786693617,27307132.86997939,83.61103003571034
8,69.45769108621396,4910.043690681632,14602649.249986812,83.95968441303177
9,67.86626940734078,9567.280989074883,23689634.219028357,83.53255397523029
10,68.67782846963273,4504.399457413355,12244563.485827759,84.06325283386603
11,68.50445910626506,11386.643630930945,30347468.127161853,83.38009212130743
12,69.39239661949932,5494.134074009659,16213729.287034048,83.62933306540414
13,67.90478538892224,9436.678343502788,23470487.94030796,83.52850912294872
14,68.70339010734699,4464.465298005296,12172161.825010708,84.06669953556187
15,68.54411181850205,11219.145120218536,30037288.387644943,83.3735942227032
16,69.42320780361142,5438.910997010172,16107489.841526229,83.6344492522613
17,67.66846297961345,9221.633535045734,22320675.532072492,83.69982517707312
18,68.54992508933351,4300.655024186692,11520957.839722956,84.25750509161585
19,68.2570190319774,11115.601270660565,28794119.72873465,83.54338394008312
20,69.2487038810978,5292.2096527449885,15364107.560837282,83.87373958684385
21,67.70625844171676,9099.838337700876,22121569.310425457,83.69584886625215
22,68.57337090205351,4264.420692311414,11454374.108492225,84.2607189609874
23,68.29633783390464,10956.589123646208,28509231.6536629,83.5368112636416
24,69.27696978429412,5241.629212875901,15267268.001227586,83.8763727276416
25,67.67608746446975,10231.892591505695,24786180.177345444,83.44435656668071
26,68.531815545915,4804.017492607784,12840444.173666812,83.96334618576364
27,68.28501591944645,12154.689536598622,31586076.648615137,83.29508493448601
28,69.21536627942501,5852.283518213479,16918424.42859606,83.46305984971171
29,67.71764280741041,10085.176780000353,24548220.723610934,83.43970088153743
30,68.55912994370209,4759.402291568144,12761824.469819533,83.96722473934521
31,68.3284881963143,11965.495307438272,31248221.611430056,83.28813796219124
32,69.24822647588566,5790.610720666882,16804201.428233042,83.47022623990173
