,v_ref_min,v_ref_max,v_ref_avg,v_ref_sub,v_ref_at_25C,v_gate_min,v_gate_max,v_gate_avg,i_ref_min,i_ref_max,i_ref_avg,i_ref_at_25C,temp_coeff
0,1.205759413807922,1.206284846433744,1.2061257158616032,0.0005254326258219422,1.206282160523454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.489566379062326
1,1.201706109240177,1.203752849324334,1.2029229243539494,0.0020467400841568395,1.2032044703313403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.724262874751274
2,1.204578225243011,1.205468123420646,1.2050501023012845,0.0008898981776348514,1.205165104551801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2199457669744564
3,1.207144809981488,1.20768168385103,1.2072828237211761,0.0005368738695419317,1.207210315636357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.540845639164605
4,1.206147100484913,1.210450634128255,1.208713446778227,0.004303533643342128,1.2086412819915717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.352266715200187
5,1.207872870849167,1.213261309039461,1.2108364918436036,0.005388438190293998,1.2106114642711427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.43524900757458
6,1.209599328389771,1.216295963375517,1.2130617319742514,0.0066966349857460195,1.2126635976457807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.54834074061658
7,1.202677219498523,1.20298559912449,1.2028310802825353,0.00030837962596708124,1.202906377639428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4650176887624837
8,1.204524643068388,1.205726122170773,1.2050115437454922,0.0012014791023848836,1.204902540667094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.696996320704011
9,1.206278643929312,1.209047766990355,1.2073564429865253,0.002769123061042933,1.207037355693265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.102626855963317
10,1.204560623003619,1.210441605067546,1.2077257594131878,0.005880982063926954,1.2074458616399477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8307087283383
11,1.206291828335471,1.213373197167411,1.2098966497082095,0.007081368831939994,1.2094475822327957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.4467493040967
12,1.208063713977263,1.216615094924026,1.212229319900028,0.008551380946762999,1.2115860495997246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.30639753365551
13,1.200803312312988,1.203817196935058,1.20256856941454,0.0030138846220699733,1.2029509578494442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.324254304713918
14,1.203564141516126,1.205506309819362,1.204632943273564,0.0019421683032359027,1.204858612485746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.213599032578827
15,1.206583884242564,1.207267706827139,1.2068777296219493,0.0006838225845748891,1.206918626284852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2376121552780157
16,1.206231631671588,1.209582821357771,1.2083685893087008,0.003351189686183087,1.2083908501660758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.853581243049973
17,1.207940598248385,1.212292481791373,1.210431950899684,0.004351883542987878,1.2103094190059938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.55000914169987
18,1.20972227503805,1.215324489985862,1.2126725627428887,0.005602214947811879,1.2123782579920939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.40168206762285
19,1.201641053585138,1.202911586856831,1.2023869729307106,0.0012705332716929085,1.202581357143128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.038703417717665
20,1.204380882489175,1.204640954792268,1.2045075901020084,0.00026007230309299523,1.204528070996636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2338015565045826
21,1.206393498480286,1.207856070222837,1.206875484286836,0.0014625717425509333,1.206687955064581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923520188566288
22,1.204614001059255,1.20940208208402,1.207292276932568,0.004788081024764912,1.2071238612360418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.66800390412541
23,1.206336463498825,1.212233407372588,1.2094068269215739,0.00589694387376305,1.2090776900284668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.86508055163018
24,1.208178163556258,1.215485551039942,1.2117660090889943,0.00730738748368398,1.2112432163166018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.45733800055882
25,1.198941704335765,1.20355207120519,1.2017076247811642,0.004610366869424842,1.2023057536785493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.931339683607376
26,1.200913232577064,1.205120898604651,1.2033593807813834,0.004207666027587154,1.2038729213757682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.986255024667965
27,1.203076807444524,1.206689920402386,1.2050803013208133,0.0036131129578620413,1.2054828463093763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.13556712409161
28,1.205962324690551,1.207978808050076,1.207534692886946,0.0020164833595248677,1.207753972883243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.546845942631288
29,1.207548986882707,1.209780715626764,1.2091946026186415,0.002231728744056971,1.209335602042535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.551093354859058
30,1.209135482116264,1.211917371114259,1.2109204468672337,0.002781888997994919,1.2109579106982418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.131897173380182
31,1.199497165187277,1.202591905007688,1.2014161784202682,0.0030947398204110854,1.2018644192995251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.724039807375558
32,1.201502462453621,1.204156748041545,1.2030761111512884,0.0026542855879239102,1.2034326330206353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6097214023811
33,1.203779547708562,1.205768011445548,1.2048590863471835,0.0019884637369860236,1.2050921020682432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.43135559409615
34,1.204329088591564,1.207379138696205,1.206351872349502,0.003050050104640878,1.2064159293874588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.453537574406901
