,v_ref_min,v_ref_max,v_ref_avg,v_ref_sub,v_ref_at_25C,temp_coeff
0,0.811748300809456,0.8132284488535473,0.8127700421924754,0.0014801480440912451,0.8132196810286649,10.409981342973193
1,0.8117755526880241,0.81319757334737,0.8127488703820991,0.001422020659345824,0.8131906299013795,10.00118981529791
2,0.8092549563716537,0.8107684381911376,0.8103065456956964,0.0015134818194839639,0.8107578065241784,10.676966232629493
3,0.8121649787768692,0.8135631449941292,0.8131202267402166,0.0013981662172599663,0.8135625671706198,9.828852837894232
4,0.8117847212517486,0.8132726723622524,0.8128195621590038,0.0014879511105038157,0.813272568314266,10.464341515222976
5,0.8125247695913667,0.8138145555818264,0.8133996970675227,0.001289785990459702,0.8138093500882639,9.063552169821454
6,0.8126644816278675,0.8140375240712028,0.813599545163836,0.0013730424433352484,0.8140367647434634,9.646458652624315
7,0.8101233357177104,0.8119596992074786,0.8114439450711015,0.0018363634897681225,0.8119339476496036,12.938308865676296
8,0.8126017323587612,0.8140204671372525,0.8135639153380266,0.001418734778491304,0.8140150085753162,9.967964140173452
9,0.8099924957865989,0.8114090423108702,0.8109428919352494,0.001416546524271256,0.811406155633633,9.984635362764438
10,0.8132739314838415,0.8146557585931691,0.8142231391242699,0.0013818271093275492,0.8146485716171448,9.700854967599497
11,0.8089288866726193,0.810647303824185,0.8101525507194618,0.001718417151565732,0.8106271206246671,12.126044625740606
12,0.8116750379876871,0.8133471499884016,0.8128680917995471,0.0016721120007144874,0.8133409335502292,11.759748007218096
13,0.8078480904005225,0.809955387718037,0.8094352125992773,0.002107297317514467,0.8098832156295172,14.886479254241113
14,0.8114380068636098,0.8129085148363474,0.8124415325632749,0.0014705079727376225,0.8129019060935299,10.346194717816491
15,0.808434269151664,0.8102348287623489,0.8097395109689186,0.0018005596106848154,0.810205247382039,12.712804703957667
16,0.8111427823938878,0.8127454778904462,0.8122723611419862,0.0016026954965583373,0.8127304248894084,11.279421379313122
17,0.8089924316549748,0.810578559384654,0.8101045493317596,0.0015861277296791432,0.8105650496106305,11.19257763553779
18,0.8071538748488568,0.8087586587544674,0.8082813938887929,0.001604783905610585,0.8087439886572957,11.349864000247068
19,0.8125564802332242,0.814069945132895,0.8136061291919625,0.0015134648996707467,0.8140699193505206,10.633505911862763
20,0.8071200101823323,0.8092673536894565,0.8087204805749812,0.0021473435071241997,0.8092074819201966,15.182665493043649
21,0.8109372639739707,0.8124174274317496,0.8119733051891624,0.0014801634577789047,0.8124169425553212,10.420491524584307
22,0.8111302689328982,0.8126357779221857,0.8121732820411047,0.001505508989287474,0.8126260858032895,10.596241406668506
23,0.8111916493370801,0.8127311792127714,0.8122677364292377,0.0015395298756912812,0.812730710430655,10.83464487439304
24,0.809048906946679,0.8108352491279005,0.8103543356760872,0.001786342181221534,0.8108010695339603,12.602962463335848
25,0.8092513287482797,0.8109435191548527,0.8104455127374347,0.0016921904065730908,0.8109270443200151,11.936415522671844
26,0.8110802446790011,0.8125483130626274,0.8120904658435493,0.001468068383626342,0.8125402817684092,10.333597733485394
27,0.8108109494131471,0.8121981109203086,0.8117449577656521,0.0013871615071614496,0.8121936682350879,9.767828630791676
28,0.8117854046325348,0.8133463432317405,0.812895181947651,0.0015609385992056968,0.8133288711122286,10.977139730413047
29,0.8094186128784743,0.8110057884714968,0.8105500293229299,0.0015871755930225717,0.8109865268629529,11.194073367095683
30,0.8070128176324484,0.8091486067692076,0.8086078265733779,0.0021357891367592696,0.8090863881220595,15.10308211622924
31,0.8116206790337072,0.8131187689424264,0.8126496375484281,0.0014980899087192467,0.8131107456416702,10.537706553224195
32,0.8069990898606861,0.8090828970310231,0.8085670203538009,0.00208380717033696,0.8090128386906824,14.736219624209605
33,0.8118562409315618,0.813235164292269,0.8128001190071911,0.0013789233607072182,0.8132347528832061,9.697377065505824
34,0.8129304259610945,0.814347109309268,0.8138954007074103,0.0014166833481734642,0.8143463962816202,9.949542401553634
35,0.8091143035191426,0.8108255992609172,0.8103420818275411,0.0017112957417746433,0.8108021268536285,12.073080974619954
36,0.8130456149007256,0.8145367295841618,0.8140598400685748,0.0014911146834362121,0.8145358337997157,10.47032165566764
37,0.8098763881800498,0.8117463499865764,0.8112499721968659,0.0018699618065265433,0.8117069009023772,13.178769371938309
38,0.8130155670300804,0.8144391415816654,0.8139735223168009,0.0014235745515850384,0.8144368978242902,9.996851746838672
39,0.8084568196711541,0.8102939228876828,0.8097911604409375,0.001837103216528635,0.810262448157158,12.970165683795942
40,0.8095269502314386,0.8111192178964379,0.8106421475007797,0.001592267664999314,0.8111060350161083,11.22845017050844
41,0.8098371117939686,0.8112853653739237,0.8108251746510232,0.00144825357995515,0.8112786905150665,10.209882176278994
42,0.813185943493838,0.8144999819625811,0.8140764459783266,0.0013140384687431172,0.8144986813886498,9.22633922494001
43,0.8103797667929334,0.81177576028215,0.8113264326835028,0.001395993489216596,0.8117703689416425,9.83519214960827
44,0.8061901605627969,0.8080980331271264,0.8075845746696463,0.0019078725643294492,0.8080606093863647,13.507041656676494
45,0.8120982683874131,0.8135400320189041,0.8130715705427988,0.0014417636314910665,0.8135381407784111,10.13589470763195
46,0.8114464813338642,0.8129522632665861,0.8124828702865715,0.0015057819327218835,0.8129437439839372,10.594034519644513
47,0.8128819671636727,0.8142993323933826,0.8138352664335511,0.0014173652297099215,0.8142971015917905,9.954920064852555
48,0.8098240122054706,0.8114825793919871,0.8109947881478133,0.0016585671865164686,0.8114662532974196,11.691220931577156
49,0.8132452382005103,0.8146653140191178,0.8142296173327572,0.0014200758186074802,0.8146652913793612,9.969489972783867
50,0.809372054050817,0.8112084732794425,0.810705681458405,0.00183641922862543,0.8111770616617552,12.950697588427015
51,0.8114985604713905,0.8131534720148093,0.8126665681946514,0.001654911543418791,0.8131377841847407,11.6414311518671
52,0.8078275035790342,0.8097625301578664,0.8092666122199396,0.0019350265788321552,0.8097105682125663,13.67131906795885
53,0.8076140940634898,0.8094410292777828,0.8089410092069598,0.0018269352142930018,0.8094093040111796,12.911903428980102
54,0.8090329861754505,0.8106383845914661,0.810161696484238,0.001605398416015591,0.8106237122259742,11.327859959679405
55,0.8086293060872572,0.8105372695020922,0.8100420890393042,0.0019079634148349012,0.8104904779346639,13.466987583785176
56,0.8124465537889899,0.8139269715286056,0.8134899251098673,0.0014804177396157137,0.8139253175445755,10.402936113964666
57,0.8112531659795502,0.8126232305310231,0.812176528278727,0.001370064551472927,0.8126186747894354,9.642285965796457
58,0.8106317143069233,0.8123275064326169,0.8118408443797739,0.001695792125693596,0.8123074648533223,11.94144695001459
59,0.8098984727714049,0.8117615144950393,0.8112558849954421,0.0018630417236343844,0.811727783225164,13.129697704914797
60,0.8125830866170725,0.8139632367355564,0.8135109764335133,0.0013801501184839138,0.8139590255342197,9.697322470800097
