,v_ref_min,v_ref_max,v_ref_avg,v_ref_sub,v_ref_at_25C,v_gate_min,v_gate_max,v_gate_avg,i_ref_min,i_ref_max,i_ref_avg,i_ref_at_25C,temp_coeff
0,1.207683540339589,1.209827726064167,1.2091122101120928,0.002144185724578085,1.209815715343383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.136449020945815
1,1.2038221521607,1.207881468507341,1.2067747438058312,0.004059316346640918,1.2076716884915122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.236271995106403
2,1.204288071921391,1.208303699182357,1.20721199571361,0.004015627260965937,1.2081072936826323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.02223307404887
3,1.204523802270346,1.208586502184024,1.2074838302319315,0.004062699913678136,1.2083885808106003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.24108320726767
4,1.20941674761192,1.213568332700025,1.2125859682611095,0.004151585088105092,1.2130870788186319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.58191451805909
5,1.209813233371018,1.214030930863229,1.2130315556670477,0.004217697492211014,1.2135304205431088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.886698066279543
6,1.210093577196164,1.214308708986388,1.2133094021811033,0.004215131790223925,1.2138171674487908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.870025292406844
7,1.203982342578566,1.207205454148035,1.2063373817429055,0.0032231115694689727,1.207141135765855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.276935643062984
8,1.204393172100261,1.207603481844778,1.2067384665197853,0.0032103097445170814,1.207543972124903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.211154693371471
9,1.204586932193965,1.207867871420881,1.2069864733191362,0.0032809392269159687,1.207804639782887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.54286043055647
10,1.207749139618705,1.212419261904763,1.2112666292474537,0.004670122286057898,1.2116665630288919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.053352193499595
11,1.208122892558144,1.212840182343215,1.211674130810408,0.004717289785070911,1.2120752941547168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.268775520316385
12,1.208392880291378,1.213081165383639,1.2119269638995964,0.004688285092261157,1.2123402391847078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.127183708664116
13,1.203440416433989,1.207667417444426,1.2065117824022313,0.004227001010437048,1.2074280117147693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.035845057463103
14,1.203876365585543,1.208071680141018,1.2069293395260026,0.004195314555475171,1.2078457700975662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.87872506106585
15,1.204076120828594,1.20834030195458,1.2071824941993745,0.004264181125986033,1.2081113286812333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.201113755673372
16,1.209249047733376,1.21327348539019,1.2123209492955096,0.0040244376568141504,1.2128412821612289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.985818539086896
17,1.209628969500109,1.21371467525098,1.2127464362276734,0.0040857057508709715,1.2132664252545557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.268327920017327
