,a_max,a_max_db,vioff,p_opamp
0,3040.0904395401085,69.65773007223414,-0.0002562872285029281,0.0003325187136978295
1,2791.7330012999446,68.91747760848597,-0.0001936897226999227,0.00026816085717443677
2,3066.5524216027043,69.73300786387603,-0.00023407862923953968,0.0001662901424967292
3,2835.291860387395,69.05195542212076,-0.0002764519770245315,0.0005135910651083168
4,3215.2043538213275,70.14417162555627,-0.00030129333233629727,0.00031369252871704103
5,2801.7288994741193,68.94852219673605,-0.0001937496533633303,0.00026417861628820206
6,3072.8605099339993,69.7508569250045,-0.00023403474122944364,0.00016487455113385426
7,2841.4969995270894,69.07094403577253,-0.0002767872100239062,0.0005048451004986075
8,3223.047650794806,70.1653345267795,-0.00030142115080012723,0.00031057788277548734
9,2808.421731509201,68.96924649874694,-0.00021860771056173082,0.00030581385881052947
10,3103.925034281683,69.83822447343078,-0.0002555181626414519,0.00018797341273717844
11,2847.872269357098,69.09041013498897,-0.0003004278395526844,0.0005769176791143629
12,3270.53248579299,70.29236934565118,-0.0003287791880703728,0.0003504878885724367
13,2818.984763934226,69.00185457201046,-0.0002185948216156418,0.00030085474105592206
14,3111.1260933884487,69.85835226687387,-0.00025537085116196143,0.00018623366575532509
15,2853.08046864059,69.10628041452074,-0.00030083790700358035,0.0005661790457425084
16,3278.7638302281102,70.31420271019364,-0.0003287342334127681,0.0003467098003988291
17,2744.0747849643685,68.76791886266786,-0.00020630632678703012,0.00028550285990756516
18,3024.9402139212134,69.61433591021142,-0.0002451534804715298,0.00017628973579173908
19,2759.889239437569,68.81783306401233,-0.0002920785686021922,0.0005436541260447322
20,3169.608653834681,70.0201128786012,-0.0003172209730610957,0.0003312408672747522
21,2754.6400030027835,68.80129700077896,-0.0002063242147726923,0.00028106750241907956
22,3031.719551753934,69.63378049092226,-0.000245071726773954,0.00017472029741520253
23,2766.24470068721,68.8378118991075,-0.00029239059630320913,0.0005339138599896745
24,3177.596262851066,70.04197432089717,-0.0003173018251143219,0.0003277933106356042
25,2733.4170354594717,68.73411793485373,-0.00023211747866000627,0.0003243288824764618
26,3035.5231386840896,69.64467095379568,-0.0002679222079262428,0.00019893986112398565
27,2783.3625490024515,68.8913955875228,-0.00031839650761793323,0.0006077019939214393
28,3220.4010167164815,70.15819910163819,-0.0003489076096308273,0.00036920115580690643
29,2744.995012872485,68.77083119514714,-0.00023204343099537445,0.00031884992766775035
30,3043.8793838314396,69.66854878342748,-0.0002677066217977944,0.0001970185844598881
31,2795.0141039572864,68.92768007454092,-0.0003187642155232991,0.0005958802931217471
32,3229.7404434460514,70.18335243728147,-0.00034870770424684375,0.0003650459576165703
