,v_ref,t_setup_bg,p_supply
0,0.8122600008179224,4.5142572885765175e-09,-6.841113188371085e-05
1,0.8105609494163145,3.681720529561514e-09,-6.97018426851949e-05
2,0.8120719302092789,4.241857770734181e-09,-6.60750501310089e-05
3,0.8109345001582449,5.426747325693004e-09,-7.981955918525136e-05
4,0.7443833119059755,5.239831900709751e-09,-1.3283570610440122e-05
5,0.7436324950475073,5.943645962422736e-09,-1.4729541412393004e-05
6,0.7431014547994339,6.235582116085888e-09,-1.736605294110238e-05
7,0.7400073562788893,7.243570207824044e-09,-2.9215564589646262e-05
8,0.8154032095815776,4.081345239182943e-09,-3.963146898460906e-05
9,0.8159340125970892,4.704700385643392e-09,-4.42338748671065e-05
10,0.8158099263352471,5.002530907777198e-09,-4.758271827208313e-05
11,0.8136786301702439,5.977878418560758e-09,-5.686523597520529e-05
12,0.8860559460405085,3.3671417172746614e-09,-0.00010011167459417936
13,0.8880172251581396,3.9522411402884376e-09,-9.496049166561013e-05
14,0.8883159105137203,4.187659017462767e-09,-9.262487442856677e-05
15,0.8871188519860365,5.11553360913099e-09,-0.00010202906167608696
16,0.7443833119059755,5.239831900709751e-09,-1.3283570610440122e-05
17,0.7436324950475073,5.943645962422736e-09,-1.4729541412393004e-05
18,0.7431014547994339,6.235582116085888e-09,-1.736605294110238e-05
19,0.7400073562788893,7.243570207824044e-09,-2.9215564589646262e-05
20,0.8154032095815776,4.081345239182943e-09,-3.963146898460906e-05
21,0.8159340125970892,4.704700385643392e-09,-4.42338748671065e-05
22,0.8158099263352471,5.002530907777198e-09,-4.758271827208313e-05
23,0.8136786301702439,5.977878418560758e-09,-5.686523597520529e-05
24,0.8860559460405085,3.3671417172746614e-09,-0.00010011167459417936
25,0.8880172251581396,3.9522411402884376e-09,-9.496049166561013e-05
26,0.8883159105137203,4.187659017462767e-09,-9.262487442856677e-05
27,0.8871188519860365,5.11553360913099e-09,-0.00010202906167608696
28,0.7443833119059755,5.239831900709751e-09,-1.3283570610440122e-05
29,0.7436324950475073,5.943645962422736e-09,-1.4729541412393004e-05
30,0.7431014547994339,6.235582116085888e-09,-1.736605294110238e-05
31,0.7400073562788893,7.243570207824044e-09,-2.9215564589646262e-05
32,0.8154032095815776,4.081345239182943e-09,-3.963146898460906e-05
33,0.8159340125970892,4.704700385643392e-09,-4.42338748671065e-05
34,0.8158099263352471,5.002530907777198e-09,-4.758271827208313e-05
35,0.8136786301702439,5.977878418560758e-09,-5.686523597520529e-05
36,0.8860559460405085,3.3671417172746614e-09,-0.00010011167459417936
37,0.8880172251581396,3.9522411402884376e-09,-9.496049166561013e-05
38,0.8883159105137203,4.187659017462767e-09,-9.262487442856677e-05
39,0.8871188519860365,5.11553360913099e-09,-0.00010202906167608696
40,0.7443833119059755,5.239831900709751e-09,-1.3283570610440122e-05
41,0.7436324950475073,5.943645962422736e-09,-1.4729541412393004e-05
42,0.7431014547994339,6.235582116085888e-09,-1.736605294110238e-05
43,0.7400073562788893,7.243570207824044e-09,-2.9215564589646262e-05
44,0.8154032095815776,4.081345239182943e-09,-3.963146898460906e-05
45,0.8159340125970892,4.704700385643392e-09,-4.42338748671065e-05
46,0.8158099263352471,5.002530907777198e-09,-4.758271827208313e-05
47,0.8136786301702439,5.977878418560758e-09,-5.686523597520529e-05
48,0.8860559460405085,3.3671417172746614e-09,-0.00010011167459417936
49,0.8880172251581396,3.9522411402884376e-09,-9.496049166561013e-05
50,0.8883159105137203,4.187659017462767e-09,-9.262487442856677e-05
51,0.8871188519860365,5.11553360913099e-09,-0.00010202906167608696
52,0.7425491716369085,4.374658181163315e-09,-1.7943792924073095e-05
53,0.7423643422990814,5.100844876075593e-09,-2.411297108208507e-05
54,0.742074788254122,5.342970240823902e-09,-2.5466127591747856e-05
55,0.7398942296516682,6.32134533763734e-09,-3.5627797371229086e-05
56,0.8143758577737621,3.6066501751684928e-09,-5.646985725422098e-05
57,0.8154463516276454,4.1273176340578745e-09,-5.480759325551331e-05
58,0.8155394984265978,4.410362896249202e-09,-5.740831551069876e-05
59,0.8142139428668161,5.317912679432093e-09,-7.060434407014029e-05
60,0.8857186634346333,2.9539460594331823e-09,-0.00012872904239933164
61,0.8881948949740349,3.516256644837837e-09,-0.00012047397344880103
62,0.8886956582993559,3.778621086810817e-09,-0.00011680246259443438
63,0.8882832333029977,4.61608755542165e-09,-0.0001178283006834317
64,0.7425491716369085,4.374658181163315e-09,-1.7943792924073095e-05
65,0.7423643422990814,5.100844876075593e-09,-2.411297108208507e-05
66,0.742074788254122,5.342970240823902e-09,-2.5466127591747856e-05
67,0.7398942296516682,6.32134533763734e-09,-3.5627797371229086e-05
68,0.8143758577737621,3.6066501751684928e-09,-5.646985725422098e-05
69,0.8154463516276454,4.1273176340578745e-09,-5.480759325551331e-05
70,0.8155394984265978,4.410362896249202e-09,-5.740831551069876e-05
71,0.8142139428668161,5.317912679432093e-09,-7.060434407014029e-05
72,0.8857186634346333,2.9539460594331823e-09,-0.00012872904239933164
73,0.8881948949740349,3.516256644837837e-09,-0.00012047397344880103
74,0.8886956582993559,3.778621086810817e-09,-0.00011680246259443438
75,0.8882832333029977,4.61608755542165e-09,-0.0001178283006834317
76,0.7425491716369085,4.374658181163315e-09,-1.7943792924073095e-05
77,0.7423643422990814,5.100844876075593e-09,-2.411297108208507e-05
78,0.742074788254122,5.342970240823902e-09,-2.5466127591747856e-05
79,0.7398942296516682,6.32134533763734e-09,-3.5627797371229086e-05
80,0.8143758577737621,3.6066501751684928e-09,-5.646985725422098e-05
81,0.8154463516276454,4.1273176340578745e-09,-5.480759325551331e-05
82,0.8155394984265978,4.410362896249202e-09,-5.740831551069876e-05
83,0.8142139428668161,5.317912679432093e-09,-7.060434407014029e-05
84,0.8857186634346333,2.9539460594331823e-09,-0.00012872904239933164
85,0.8881948949740349,3.516256644837837e-09,-0.00012047397344880103
86,0.8886956582993559,3.778621086810817e-09,-0.00011680246259443438
87,0.8882832333029977,4.61608755542165e-09,-0.0001178283006834317
88,0.7425491716369085,4.374658181163315e-09,-1.7943792924073095e-05
89,0.7423643422990814,5.100844876075593e-09,-2.411297108208507e-05
90,0.742074788254122,5.342970240823902e-09,-2.5466127591747856e-05
91,0.7398942296516682,6.32134533763734e-09,-3.5627797371229086e-05
92,0.8143758577737621,3.6066501751684928e-09,-5.646985725422098e-05
93,0.8154463516276454,4.1273176340578745e-09,-5.480759325551331e-05
94,0.8155394984265978,4.410362896249202e-09,-5.740831551069876e-05
95,0.8142139428668161,5.317912679432093e-09,-7.060434407014029e-05
96,0.8857186634346333,2.9539460594331823e-09,-0.00012872904239933164
97,0.8881948949740349,3.516256644837837e-09,-0.00012047397344880103
98,0.8886956582993559,3.778621086810817e-09,-0.00011680246259443438
99,0.8882832333029977,4.61608755542165e-09,-0.0001178283006834317
100,0.7356546784830309,4.6811781703213564e-09,-3.2538504185056436e-05
101,0.7361775864894693,5.386494788109403e-09,-3.5829875259443426e-05
102,0.736045308348175,5.689293448395813e-09,-3.681541318270627e-05
103,0.7337925335979115,6.641166956116609e-09,-4.940632236244615e-05
104,0.8056297470794024,3.7651556050572475e-09,-8.474625855363615e-05
105,0.8076836454883721,4.382064805550342e-09,-8.030919350181053e-05
106,0.8080027265788261,4.625955830904434e-09,-8.130350705711243e-05
107,0.806748274557041,5.566826863889952e-09,-9.00591545561667e-05
108,0.8746517940173947,3.1037566318059922e-09,-0.0001746759586806149
109,0.8784724168953565,3.686505232282589e-09,-0.00015749692692080107
110,0.8793125111248117,3.964548642416228e-09,-0.0001517862701853528
111,0.8792111982404166,4.819816541084442e-09,-0.0001469925264354742
112,0.7356546784830309,4.6811781703213564e-09,-3.2538504185056436e-05
113,0.7361775864894693,5.386494788109403e-09,-3.5829875259443426e-05
114,0.736045308348175,5.689293448395813e-09,-3.681541318270627e-05
115,0.7337925335979115,6.641166956116609e-09,-4.940632236244615e-05
116,0.8056297470794024,3.7651556050572475e-09,-8.474625855363615e-05
117,0.8076836454883721,4.382064805550342e-09,-8.030919350181053e-05
118,0.8080027265788261,4.625955830904434e-09,-8.130350705711243e-05
119,0.806748274557041,5.566826863889952e-09,-9.00591545561667e-05
120,0.8746517940173947,3.1037566318059922e-09,-0.0001746759586806149
121,0.8784724168953565,3.686505232282589e-09,-0.00015749692692080107
122,0.8793125111248117,3.964548642416228e-09,-0.0001517862701853528
123,0.8792111982404166,4.819816541084442e-09,-0.0001469925264354742
124,0.7356546784830309,4.6811781703213564e-09,-3.2538504185056436e-05
125,0.7361775864894693,5.386494788109403e-09,-3.5829875259443426e-05
126,0.736045308348175,5.689293448395813e-09,-3.681541318270627e-05
127,0.7337925335979115,6.641166956116609e-09,-4.940632236244615e-05
128,0.8056297470794024,3.7651556050572475e-09,-8.474625855363615e-05
129,0.8076836454883721,4.382064805550342e-09,-8.030919350181053e-05
130,0.8080027265788261,4.625955830904434e-09,-8.130350705711243e-05
131,0.806748274557041,5.566826863889952e-09,-9.00591545561667e-05
132,0.8746517940173947,3.1037566318059922e-09,-0.0001746759586806149
133,0.8784724168953565,3.686505232282589e-09,-0.00015749692692080107
134,0.8793125111248117,3.964548642416228e-09,-0.0001517862701853528
