,a_dc,f_3db,f_0,pm
0,68.9439985678304,7000.498137380837,19591903.583667587,81.79149719578862
1,68.06954334400879,8329.595258480156,21079676.711867783,81.92281058939608
2,68.82981930843978,3933.231325202047,10865228.497191109,82.47506675972306
3,68.66962017907983,10077.206640387209,27327360.097387295,81.72940844971819
4,69.4074124895585,4930.226070306315,14553633.046614688,82.02413029897014
5,68.10472831794156,8224.921109933306,20899016.47238488,81.91685746905195
6,68.85036425321123,3902.2452176694064,10805143.837516587,82.47755742865576
7,68.7048114239912,9942.206447442995,27071105.775749512,81.72005467859755
8,69.43098207729265,4887.012700226542,14464849.00601963,82.02589355085296
9,68.12041570845477,9224.562260386103,23479346.511903465,81.62196331758638
10,68.87781116941898,4367.393726705197,12129134.755161354,82.13842470088564
11,68.70390491143823,11049.947007608362,30081952.170670107,81.44114198615208
12,69.40885102953015,5440.866464196828,16058097.378939781,81.63201565481606
13,68.15879168496474,9098.708019218315,23259822.264365654,81.6158182832307
14,68.90108148031781,4329.808177470765,12056690.275853176,82.14174236329858
15,68.7428461843149,10888.153451275733,29773345.117517278,81.43147391602882
16,69.43411741034788,5389.592037922807,15953409.040945886,81.63593273806221
17,67.90340279006878,8911.353478745103,22123336.02195964,81.82930932920806
18,68.71194200303032,4188.301327821952,11413159.317217808,82.38315807943204
19,68.47043984369134,10770.215646165287,28542905.723574325,81.64473732648013
20,69.2565025384424,5246.394359519072,15219151.371607495,81.92697954317347
21,67.94126557328366,8793.518204359807,21926369.46179623,81.82231589524504
22,68.73393669298414,4153.699284045223,11347767.39072718,82.38548013131224
23,68.50896599156542,10616.978936091336,28263018.639658052,81.63394398168155
24,69.28154797298144,5198.16184808184,15122224.78143184,81.92910377444994
25,67.95649539075046,9835.696895838326,24565697.51508918,81.52033092712755
26,68.76735480732701,4638.743132871093,12718828.599280909,82.02243840567682
27,68.51140259089465,11759.083301552731,31308294.375620194,81.3461219374604
28,69.28891842728439,5757.481545181498,16755293.037566097,81.45456855984983
29,67.99753827290967,9695.138093763011,24327352.269408576,81.51329736589325
30,68.79184198815759,4597.1440548851115,12640158.802477766,82.02606082220407
31,68.5536111209055,11577.568114897604,30975891.13436771,81.33465631992094
32,69.31464550512548,5701.459509048658,16641540.881587267,81.46083875529544
