,vp,max,min,tc
0,2.97,1.190469432029152,1.184955101229357,26.530383324692718
1,2.98,1.190556552055405,1.185227804622224,25.633627266613125
2,2.99,1.190643755721027,1.185501667891643,24.731953468047468
3,3.0,1.190731044833802,1.185776690554034,23.8253765917315
4,3.01,1.190818421142407,1.186052872243182,22.913910459815774
5,3.02,1.190905886304702,1.186330212507662,21.997568878176917
6,3.03,1.190993441952173,1.186608710583536,21.07636703984471
7,3.04,1.191081089798313,1.186888366003811,20.15031910894543
8,3.05,1.191168831443046,1.187169178084814,19.219439756233307
9,3.06,1.191256668393712,1.187451146145142,18.283743205018858
10,3.07,1.191344602280963,1.187734269555743,17.343244025883454
11,3.08,1.191432634662146,1.188016070563074,16.409871228067146
12,3.09,1.191520767077599,1.188293758123811,15.497049008843323
13,3.1,1.191609001024774,1.188567220218407,14.605309012567751
14,3.11,1.191697338071592,1.188836352084579,13.735148065295842
15,3.12,1.19178577970021,1.18910105138708,12.887050695686193
16,3.13,1.191874327498516,1.189361220562572,12.061478818615356
17,3.14,1.191962983005857,1.189616765456506,11.258877586205992
18,3.15,1.192051747716439,1.189867595613263,10.47967404602267
19,3.16,1.19214062322513,1.190113621654638,9.724290463112595
20,3.17,1.192229611095201,1.190354757934469,8.993130964858464
21,3.18,1.19231871293286,1.190590919261603,8.28659766153588
22,3.19,1.192407930329845,1.19082202178731,7.6050861317183935
23,3.2,1.192497264903594,1.191047982077403,6.948990089576292
24,3.21,1.192586718329598,1.191268716412025,6.318704917443466
25,3.22,1.192676292314565,1.191484140096636,5.714630857518435
26,3.23,1.192765988540641,1.19169416683328,5.137175772746821
27,3.24,1.192855808711598,1.19189870782313,4.586759682123982
28,3.25,1.193027331102271,1.192097671160979,4.454561095647205
29,3.26,1.193332303819782,1.192290960690317,4.9886604116381
30,3.27,1.193638426276301,1.19247847470596,5.555716641488587
31,3.28,1.193945699338149,1.19266010641979,6.156228422844233
32,3.29,1.194254124135757,1.192835740797184,6.790735253041184
33,3.3,1.194563701667536,1.193005253650913,7.459819929395192
34,3.31,1.19487443363419,1.19316851049358,8.164118033160213
35,3.32,1.19518632139882,1.193325362893417,8.90433040142657
36,3.33,1.195499367029311,1.193475644222307,9.68124846117943
37,3.34,1.195813572434833,1.1936191634152,10.49577995986412
38,3.35,1.196128940143962,1.19375568967869,11.349025857480228
39,3.36,1.196445472630095,1.193884922765867,12.242419322497701
40,3.37,1.196763172730986,1.194006414642297,13.178102521576939
41,3.38,1.197082043640279,1.194119302805446,14.160202487993283
42,3.39,1.197402088894634,1.194218761716186,15.211810028380789
43,3.4,1.197723311979091,1.194310904716688,16.3036715234035
44,3.41,1.198045717118436,1.194403206033074,17.400036304050307
45,3.42,1.198369308564953,1.19449566770732,18.50091069453384
46,3.43,1.198694091116647,1.194588291640881,19.606304261563402
47,3.44,1.199020069794935,1.194681079720114,20.716227674453137
48,3.45,1.199347250147446,1.194774033810412,21.830694174231684
49,3.46,1.199675637780472,1.194867076402371,22.950096840118977
50,3.47,1.200005238996133,1.194960279434555,24.074117251395176
51,3.48,1.200336060479973,1.195053651887114,25.20273991605849
52,3.49,1.20066810896689,1.195147429127688,26.334867135377827
53,3.5,1.201001392076684,1.195240910309967,27.47388161386578
54,3.51,1.201335917772849,1.195334798530139,28.616455089200546
55,3.52,1.201671694225861,1.195428860605696,29.76373677814117
56,3.53,1.202008730286298,1.195523097296996,30.915760543814454
57,3.54,1.202347035100298,1.195617509145564,32.07256264011596
58,3.55,1.202686618618908,1.195712096577249,33.23418363602949
59,3.56,1.203027491002433,1.195806859816733,34.400665988863395
60,3.57,1.203369663028738,1.195901798961895,35.572055625571906
61,3.58,1.203713146107249,1.195996914144454,36.74840123684743
62,3.59,1.204057951999007,1.196092205296793,37.92975405785769
63,3.6,1.204404093152067,1.19618767246172,39.116167976529695
