,v_ref_min,v_ref_max,v_ref_avg,v_ref_sub,v_ref_at_25C,v_gate_min,v_gate_max,v_gate_avg,i_ref_min,i_ref_max,i_ref_avg,i_ref_at_25C,temp_coeff
0,1.200405503796523,1.202433804198846,1.2009491701907526,0.0020283004023229356,1.200480587380631,2.255835619020696,2.339582747292522,2.291719533827583,0.0,0.0,0.0,0.0,9.647160319633207
1,1.196014873471483,1.198100407721994,1.1966810329026307,0.0020855342505110563,1.1962649701773822,1.842353243804745,1.918932419839779,1.8747425475994743,0.0,0.0,0.0,0.0,9.955526091799596
2,1.200650023627481,1.204347572214849,1.2014860484202503,0.003697548587367816,1.200660907808867,2.172316890576731,2.248070496468888,2.204388347298948,0.0,0.0,0.0,0.0,17.57078602257233
3,1.204430686922427,1.210413115776953,1.2058751369895786,0.005982428854526045,1.2047032785001128,2.502268692610591,2.577321860295291,2.5340717382080165,0.0,0.0,0.0,0.0,28.312645067921604
4,1.2005006761373,1.205749473185792,1.2023032318455742,0.0052487970484920154,1.2016107210728828,1.84197701351198,1.917162643915267,1.873671836532441,0.0,0.0,0.0,0.0,24.929349926332787
5,1.203994509908982,1.212521297863435,1.2071233947465,0.008526787954453052,1.2060389118211567,2.171935656221033,2.24632046171851,2.203319440813452,0.0,0.0,0.0,0.0,40.32624362742292
6,1.207338245058642,1.218547671421063,1.2115293641516132,0.011209426362420949,1.2101121580065115,2.501882664811981,2.575586928054313,2.533003516595855,0.0,0.0,0.0,0.0,52.80863744909381
7,1.195893091910144,1.19950471303344,1.1967000561547212,0.0036116211232959383,1.195896178930801,1.882120308849428,1.973304353752831,1.9216793672489465,0.0,0.0,0.0,0.0,17.23123812476614
8,1.200015752051053,1.206544768100205,1.2016111476906095,0.006529016049152014,1.2003758082331168,2.21210677697745,2.302507120773794,2.2513641946373895,0.0,0.0,0.0,0.0,31.00579671743853
9,1.203581644057084,1.212812653985172,1.206113919728856,0.009231009928088119,1.2045132815281128,2.542080812329716,2.631817341058415,2.5810838080871865,0.0,0.0,0.0,0.0,43.65895764879106
10,1.198586387593586,1.206669890312618,1.2014240768444953,0.00808350271903202,1.2003508261478608,1.881874697473209,1.971916169989874,1.920866872340808,0.0,0.0,0.0,0.0,38.408750479565896
11,1.202107140770943,1.213642191001811,1.2063412244266636,0.011535050230867983,1.2048547627569035,2.211857262537104,2.301138553189726,2.250554292733775,0.0,0.0,0.0,0.0,54.57070556194406
12,1.205500274919496,1.219858375714215,1.2108526973639,0.014358100794718887,1.2090158961592166,2.541827567234556,2.630464069177451,2.5802754538888557,0.0,0.0,0.0,0.0,67.65703722548332
13,1.195525577603658,1.198716225958828,1.196489437820469,0.0031906483551700227,1.1962428428750371,1.936402323849337,2.012777052136398,1.9686930916815095,0.0,0.0,0.0,0.0,15.230104401425752
14,1.200292760017893,1.202620614931762,1.2009972855302804,0.0023278549138689986,1.20039806561637,2.266384547111242,2.342077239866417,2.2984157736004533,0.0,0.0,0.0,0.0,11.071583535157707
15,1.204311890143404,1.208268048223212,1.205216524580174,0.003956158079807981,1.2043146598756,2.596341325335534,2.671448999610435,2.628151840558923,0.0,0.0,0.0,0.0,18.740616415975058
16,1.201120983024102,1.204733789618852,1.202149643764986,0.003612806594749829,1.201609658835168,1.936039769318563,2.011047904401328,1.9676544644521923,0.0,0.0,0.0,0.0,17.161974486246326
17,1.204562350024233,1.210926148874814,1.206678539116474,0.006363798850580915,1.2057992860492739,2.266017337358983,2.340362362541219,2.297377593893631,0.0,0.0,0.0,0.0,30.109491208123686
18,1.207949880258369,1.216550791760167,1.2109196333628311,0.008600911501797981,1.2097489268102568,2.595969518059112,2.669745124614049,2.6271132955246155,0.0,0.0,0.0,0.0,40.54283530772653
19,1.19561650827675,1.198025814381531,1.1963267960379984,0.0024093061047809616,1.195725831450557,1.974688522953907,2.065240100139172,2.01393483102149,0.0,0.0,0.0,0.0,11.503358981889681
20,1.199930162698267,1.204434484291989,1.2009266984519855,0.004504321593721938,1.199953615674937,2.304691689815463,2.394595339908159,2.343691697080813,0.0,0.0,0.0,0.0,21.41021376917479
